Algorithm,Array Type,Size 1,Size 2,Size 3,Size 4,Size 5,Size 6,Size 7,Size 8,Size 9,Size 10,Size 11,Size 12,Size 13,Size 14,Size 15,Size 16,Size 17,Size 18,Size 19,Size 20,Size 21,Size 22,Size 23,Size 24,Size 25,Size 26,Size 27,Size 28,Size 29,Size 30
heap_sort,random,0,1,3,7,10,16,19,25,32,38,48,53,61,64,73,82,88,102,107,116,121,131,145,138,157,172,174,187,191,202
heap_sort,sorted,0,1,3,6,10,14,18,24,30,35,39,47,55,61,66,72,79,87,99,105,111,118,130,137,143,150,161,171,176,188
heap_sort,inverted,0,1,3,7,12,16,21,27,35,41,49,55,63,69,77,85,95,103,113,121,131,139,149,157,167,175,185,193,203,211
bubble_sort,random,0,1,3,6,10,15,21,27,33,44,54,60,75,90,95,114,135,150,161,190,204,221,247,261,285,310,341,375,405,420
bubble_sort,sorted,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
bubble_sort,inverted,0,1,3,6,10,15,21,28,36,45,55,66,78,91,105,120,136,153,171,190,210,231,253,276,300,325,351,378,406,435
selection_sort,random,0,1,3,6,10,15,21,28,36,45,55,66,78,91,105,120,136,153,171,190,210,231,253,276,300,325,351,378,406,435
selection_sort,sorted,0,1,3,6,10,15,21,28,36,45,55,66,78,91,105,120,136,153,171,190,210,231,253,276,300,325,351,378,406,435
selection_sort,inverted,0,1,3,6,10,15,21,28,36,45,55,66,78,91,105,120,136,153,171,190,210,231,253,276,300,325,351,378,406,435
insertion_sort,random,0,1,3,6,6,14,17,11,26,32,36,39,59,49,48,69,70,93,100,129,122,134,144,145,155,181,221,202,212,175
insertion_sort,sorted,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
insertion_sort,inverted,0,1,3,6,10,15,21,28,36,45,55,66,78,91,105,120,136,153,171,190,210,231,253,276,300,325,351,378,406,435
