Algorithm,Array Type,Size 1,Size 2,Size 3,Size 4,Size 5,Size 6,Size 7,Size 8,Size 9,Size 10,Size 11,Size 12,Size 13,Size 14,Size 15,Size 16,Size 17,Size 18,Size 19,Size 20,Size 21,Size 22,Size 23,Size 24,Size 25,Size 26,Size 27,Size 28,Size 29,Size 30
heap_sort,random,3e-07,7e-07,8e-07,1.2e-06,1.3e-06,1.9e-06,1.9e-06,3.1e-06,3.4e-06,3.7e-06,4.4e-06,4.5e-06,5.4e-06,5.8e-06,8.8e-06,7.1e-06,7.4e-06,8.5e-06,8.9e-06,1.02e-05,8.1e-06,1.09e-05,1.11e-05,1.15e-05,1.35e-05,1.4e-05,1.42e-05,1.47e-05,1.47e-05,1.6e-05
heap_sort,sorted,3e-07,5e-07,6e-07,8e-07,1.2e-06,1.5e-06,1.7e-06,2.4e-06,2.8e-06,3e-06,3.3e-06,3.8e-06,4.8e-06,5e-06,5.7e-06,5.9e-06,6.1e-06,7.5e-06,6.6e-06,7.5e-06,8.4e-06,9.2e-06,9.6e-06,1.34e-05,1.09e-05,1.25e-05,1.34e-05,1.56e-05,1.32e-05,1.41e-05
heap_sort,inverted,3e-07,5e-07,8e-07,1.2e-06,1.4e-06,2.5e-06,1.8e-06,3.1e-06,3.5e-06,3.9e-06,4.4e-06,7.8e-06,5.6e-06,5.5e-06,6.3e-06,7.7e-06,7.6e-06,9.3e-06,1e-05,9.7e-06,1.07e-05,1.09e-05,1.15e-05,1.29e-05,1.43e-05,1.56e-05,1.4e-05,1.52e-05,1.62e-05,1.66e-05
bubble_sort,random,1e-07,3e-07,6e-07,6e-07,1e-06,1.4e-06,2.1e-06,2.4e-06,2.6e-06,3.7e-06,4.4e-06,5e-06,5.7e-06,7.1e-06,7.1e-06,7.2e-06,7.5e-06,8e-06,1.06e-05,4.46e-05,2.06e-05,3.05e-05,0.0015352,8.55e-05,1.92e-05,3.05e-05,5.25e-05,2.87e-05,3.02e-05,3.9e-05
bubble_sort,sorted,4e-07,4e-07,3e-07,4e-07,4e-07,6e-07,6e-07,7e-07,7e-07,7e-07,7e-07,8e-07,9e-07,8e-07,1e-06,1.1e-06,6e-07,9e-07,9e-07,9e-07,1e-06,8e-07,1.1e-06,1.2e-06,1.2e-06,1.4e-06,1.4e-06,1.5e-06,1.8e-06,1.7e-06
bubble_sort,inverted,3e-07,3e-07,6e-07,7e-07,1e-06,1.3e-06,2.1e-06,2.3e-06,3.1e-06,3.4e-06,4.7e-06,4.8e-06,5.9e-06,6.9e-06,8e-06,1.02e-05,1.16e-05,1.11e-05,1.28e-05,1.38e-05,1.52e-05,1.59e-05,1.84e-05,1.95e-05,2.21e-05,2.29e-05,2.19e-05,2.25e-05,2.67e-05,2.78e-05
selection_sort,random,3e-07,1e-06,6e-07,5e-07,8e-07,8e-07,1e-06,1.3e-06,1.6e-06,2.1e-06,2.4e-06,3e-06,3.3e-06,3.7e-06,4.3e-06,4.2e-06,5.1e-06,5.4e-06,5.5e-06,6.4e-06,6.3e-06,7.5e-06,7.7e-06,8.3e-06,9.4e-06,9.8e-06,1.07e-05,1.15e-05,1.21e-05,1.57e-05
selection_sort,sorted,3e-07,4e-07,4e-07,5e-07,8e-07,1.1e-06,1.4e-06,1.9e-06,2.2e-06,2.6e-06,2.8e-06,3.1e-06,3.7e-06,4.8e-06,6e-06,5.3e-06,5.1e-06,8.5e-06,9.1e-06,1.04e-05,1.05e-05,9.8e-06,1.11e-05,1.11e-05,1.36e-05,1.36e-05,1.37e-05,1.55e-05,1.7e-05,1.7e-05
selection_sort,inverted,3e-07,5e-07,5e-07,7e-07,1e-06,1.3e-06,1.7e-06,2.2e-06,2.6e-06,3.1e-06,3.5e-06,4.5e-06,4.9e-06,5.2e-06,5.5e-06,6.5e-06,8.3e-06,9.2e-06,8.6e-06,1.06e-05,1.22e-05,1.23e-05,1.44e-05,1.17e-05,1.38e-05,1.36e-05,1.65e-05,2.11e-05,2.13e-05,2.41e-05
insertion_sort,random,3e-07,3e-07,5e-07,7e-07,5e-07,8e-07,1.3e-06,8e-07,1.6e-06,2e-06,2.1e-06,1.9e-06,3.1e-06,2.3e-06,2.5e-06,3.7e-06,3.7e-06,4.5e-06,4.1e-06,5.2e-06,5.7e-06,6.2e-06,7.6e-06,6.2e-06,7.5e-06,7.3e-06,8.9e-06,8.8e-06,8.5e-06,1.33e-05
insertion_sort,sorted,2e-07,3e-07,3e-07,4e-07,4e-07,4e-07,4e-07,5e-07,5e-07,5e-07,7e-07,7e-07,9e-07,1.5e-06,8e-07,7e-07,7e-07,1e-06,1e-06,7e-07,1.1e-06,1.1e-06,1.1e-06,1.1e-06,1.1e-06,1.6e-06,1.7e-06,1.4e-06,1.7e-06,1.7e-06
insertion_sort,inverted,3e-07,4e-07,5e-07,7e-07,9e-07,1.3e-06,1.6e-06,2.1e-06,2.7e-06,3e-06,3.3e-06,3.9e-06,4.8e-06,5e-06,6e-06,6.4e-06,6.8e-06,6.6e-06,6.9e-06,8.4e-06,8.8e-06,8.8e-06,1.07e-05,1.32e-05,1.45e-05,1.29e-05,1.53e-05,1.5e-05,1.55e-05,1.62e-05
